reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_secondary_themes,themes-resolution_tertiary_themes,themes-resolution_main_theme
elements_raiders-of-the-lost-ark_1981,office-space_1999,0,80,70,85,65,80,85,75,70,70,80,75,70,80,75,70,80,70,75,40,10,10,30,70,40,30,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,1,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,30,40,60,80,70,50,80.0,40.0,
elements_raiders-of-the-lost-ark_1981,office-space_1999,2,80,80,85,75,85,90,80,75,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,3,80,80,85,75,85,85,80,75,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,30,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,4,80,85,80,75,85,90,85,80,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,5,80,80,85,75,85,90,85,80,70,80,75,70,80,75,70,80,70,60,40,10,10,30,50,40,30,60,80,70,50,80.0,40.0,
elements_raiders-of-the-lost-ark_1981,office-space_1999,6,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,40,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,7,80,80,85,75,85,90,85,80,70,80,75,70,75,70,70,80,65,75,40,10,20,50,60,30,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,8,80,85,80,75,85,90,85,80,70,80,75,70,80,75,70,80,70,75,40,10,20,50,60,40,30,80,90,85,75,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,9,80,85,80,75,85,85,80,75,70,80,75,70,75,80,70,75,70,80,40,10,20,30,50,40,40,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,10,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,11,80,70,80,65,75,85,80,70,70,80,75,70,75,70,70,75,65,70,40,10,10,30,50,40,30,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,12,80,70,85,65,80,85,75,70,70,80,75,70,75,70,70,80,65,80,40,10,10,30,50,40,30,60,80,70,60,80.0,65.0,75.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,13,80,80,85,75,85,90,80,75,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,30,40,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,14,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,30,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,15,80,80,85,75,85,90,85,80,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,50,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,16,80,70,80,65,75,85,75,70,70,80,75,70,80,75,70,80,70,75,40,10,10,50,60,30,30,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,17,80,60,85,70,75,85,80,65,70,80,75,70,75,70,70,80,65,75,40,10,10,50,60,30,30,60,70,75,70,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,18,80,70,85,65,80,85,75,70,70,80,75,70,75,70,70,80,65,75,40,10,20,30,50,40,40,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,19,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,30,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,20,80,70,85,65,80,85,75,70,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,21,80,85,80,75,85,90,85,80,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,40,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,22,80,80,85,75,85,90,85,80,70,80,75,70,75,80,70,75,70,80,40,10,20,30,50,40,40,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,23,80,85,80,75,85,90,80,75,70,80,75,70,80,75,70,80,70,80,40,10,10,30,50,40,40,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,24,80,85,80,75,85,90,85,80,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,40,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,25,80,70,85,65,80,85,75,70,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,40,80,90,85,75,80.0,70.0,85.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,26,80,60,85,70,80,90,85,75,70,80,75,70,75,70,75,80,70,80,40,10,10,30,50,40,30,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,27,80,80,85,75,85,90,85,80,70,80,75,70,75,70,70,80,65,70,40,10,20,30,50,40,40,80,90,85,75,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,28,80,60,85,70,80,85,75,70,70,80,75,70,80,75,70,80,70,75,40,10,10,50,60,40,30,60,80,70,50,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,29,80,80,75,70,80,85,75,70,70,80,75,70,75,70,75,80,70,80,40,10,10,50,60,30,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,30,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,40,60,80,70,50,70.0,40.0,75.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,31,80,85,80,75,85,90,85,80,70,80,75,70,80,75,70,80,70,75,40,10,20,50,60,30,40,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,32,80,70,85,65,80,85,75,70,70,80,75,70,80,75,70,80,70,75,40,10,10,30,50,40,30,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,office-space_1999,33,80,70,80,65,75,85,80,70,70,80,75,70,80,75,70,75,70,80,40,10,20,30,50,40,30,60,80,70,60,,,
