reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_secondary_themes,themes-resolution_tertiary_themes
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,0,80,60,85,65,75,85,80,70,75,80,85,80,75,70,75,80,70,85,60,80,60,70,70,60,50,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,1,80,60,85,70,80,90,75,70,70,80,75,70,80,75,70,80,70,85,40,80,60,50,70,60,30,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,2,80,60,85,70,80,90,85,75,75,80,85,80,85,75,70,80,70,85,60,80,70,60,70,70,50,70,80,85,75,90.0,80.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,3,80,70,85,75,80,85,80,75,70,80,75,70,85,75,70,80,65,80,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,4,80,60,85,70,80,90,85,75,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,5,80,60,85,70,80,85,75,70,70,80,75,70,80,75,70,80,65,75,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,6,80,60,85,70,80,90,85,75,70,80,85,75,80,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,7,80,60,85,70,80,90,85,75,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,90.0,80.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,8,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,80,60,80,70,60,70,70,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,9,80,60,85,70,80,85,75,70,75,80,85,80,75,70,75,80,70,85,60,80,70,70,80,70,80,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,10,80,60,85,70,80,85,75,70,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,70,50,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,11,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,12,80,60,85,70,80,90,85,75,70,80,85,75,80,70,75,80,70,85,60,80,70,60,70,50,70,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,13,80,80,85,75,80,85,75,70,75,80,70,80,75,70,75,80,70,85,60,80,70,60,70,50,70,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,14,80,60,85,70,80,90,85,75,70,80,75,70,85,75,70,80,65,80,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,15,80,60,85,65,75,85,80,70,75,80,85,80,75,70,75,80,70,85,60,80,60,70,70,80,60,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,16,80,80,85,75,85,90,85,80,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,17,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,60,80,70,60,70,50,60,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,18,80,60,85,70,80,90,85,75,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,19,80,60,85,70,80,85,75,70,70,80,75,70,80,75,70,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,20,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,75,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,21,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,80,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,22,80,60,85,70,80,85,75,70,70,80,75,70,80,75,70,80,70,75,60,80,70,60,70,70,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,23,80,60,85,70,80,90,85,75,75,80,85,80,85,75,80,70,70,85,60,80,70,60,70,50,70,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,24,80,60,85,70,75,85,80,65,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,25,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,26,80,60,85,70,80,85,75,70,75,80,85,80,75,70,75,80,70,85,60,80,60,70,70,60,60,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,27,80,60,85,70,80,85,75,70,70,80,75,70,80,75,70,80,70,75,40,80,60,50,70,60,40,80,90,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,28,80,60,80,70,75,85,80,70,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,29,80,60,85,70,80,90,85,75,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,30,80,60,85,70,75,85,80,70,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,70,50,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,31,80,60,85,70,80,90,85,75,70,80,75,70,80,75,70,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,32,80,60,85,70,80,85,75,70,70,80,75,70,80,75,70,80,70,75,60,80,70,60,70,50,60,75,80,85,75,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-temple-of-doom_1984,33,80,60,85,70,80,90,85,75,75,80,85,80,75,70,75,80,70,85,60,80,70,60,70,50,70,70,80,85,75,,
