characters_role,characters_backstory,characters_strengths,characters_weakness,characters_psychology,characters_beliefs,characters_motivations,characters_sodial_dynamics,characters_arc,characters_similarity_overall,plot_protagonist_intro,plot_inciting_incident,plot_rising_action,plot_climax,plot_resolution,plot_consequences,plot_final_outcome,plot_loose_ends,plot_subplots,plot_similarity_overall,setting_film_title,setting_features,setting_similarity_overall,themes_features,themes_similarity_overall,filename,characters_social_dynamics
100,100,100,100,100,100,100,100.0,100,100,90,80,85,75,85,90,90,80,85,85,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 85}",80,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 30, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 50}",55,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver0.pkl,
100,50,75,50,75,50,75,75.0,75,71,80,70,75,85,90,85,90,80,85,83,,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 85, 'social_class': 75, 'ideology_and_beliefs': 90, 'economic_and_political_context': 90}",85,"{'main_theme': 40, 'secondary_themes': 30, 'tertiary_themes': 20, 'resolution_main_them': 50, 'resolution_secondary_themes': 60, 'resolution_tertiary_themes': 40}",40,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver1.pkl,
100,80,90,70,95,90,85,,90,87,80,70,75,85,90,85,90,80,0,80,,"{'time_period': 80, 'geographical_location': 70, 'cultural_context': 60, 'social_class': 75, 'ideology_and_beliefs': 70, 'economic_and_political_context': 85}",72,"{'main_theme': 50, 'secondary_themes': 60, 'tertiary_themes': 40, 'resolution_main_them': 70, 'resolution_secondary_themes': 65, 'resolution_tertiary_themes': 55}",57,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver10.pkl,85.0
100,100,100,100,100,100,100,100.0,100,100,90,85,80,85,90,85,90,85,90,87,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 85, 'ideology_and_beliefs': 90, 'economic_and_political_context': 85}",84,"{'main_theme': 40, 'secondary_themes': 20, 'tertiary_themes': 10, 'resolution_main_them': 60, 'resolution_secondary_themes': 30, 'resolution_tertiary_themes': 20}",30,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver11.pkl,
100,90,100,70,100,100,100,80.0,90,90,80,90,85,75,85,80,90,70,85,83,0,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 85, 'social_class': 75, 'ideology_and_beliefs': 90, 'economic_and_political_context': 90}",84,"{'main_theme': 50, 'secondary_themes': 60, 'tertiary_themes': 40, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 60}",60,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver12.pkl,
100,80,100,60,100,80,80,80.0,80,83,80,90,85,85,90,85,90,80,90,86,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",80,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 65}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver13.pkl,
100,100,100,100,100,100,100,,100,100,100,100,80,90,100,90,100,70,90,90,0,"{'time_period': 80, 'geographical_location': 90, 'cultural_context': 70, 'social_class': 80, 'ideology_and_beliefs': 90, 'economic_and_political_context': 80}",82,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 65}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver14.pkl,100.0
100,100,100,100,100,100,100,,100,100,80,90,85,75,85,85,90,80,90,85,,"{'time_period': 80, 'geographical_location': 60, 'cultural_context': 70, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",76,"{'main_theme': 50, 'secondary_themes': 60, 'tertiary_themes': 40, 'resolution_main_them': 70, 'resolution_secondary_themes': 65, 'resolution_tertiary_themes': 55}",57,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver15.pkl,100.0
100,50,75,50,50,75,75,75.0,75,70,100,100,80,70,90,90,80,70,90,85,,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 70, 'social_class': 90, 'ideology_and_beliefs': 80, 'economic_and_political_context': 90}",84,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 30, 'resolution_main_them': 20, 'resolution_secondary_themes': 50, 'resolution_tertiary_themes': 40}",40,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver16.pkl,
100,80,100,80,100,100,100,,100,93,80,90,85,75,85,80,90,70,85,83,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 60, 'ideology_and_beliefs': 70, 'economic_and_political_context': 90}",76,"{'main_theme': 50, 'secondary_themes': 60, 'tertiary_themes': 40, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 60}",60,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver17.pkl,90.0
100,80,100,90,100,100,100,90.0,100,94,90,85,80,85,90,85,90,85,90,87,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 60, 'ideology_and_beliefs': 70, 'economic_and_political_context': 80}",75,"{'main_theme': 30, 'secondary_themes': 40, 'tertiary_themes': 20, 'resolution_main_them': 50, 'resolution_secondary_themes': 60, 'resolution_tertiary_themes': 40}",40,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver18.pkl,
100,100,100,100,100,100,100,,100,100,70,80,75,85,70,80,75,60,85,75,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 85, 'ideology_and_beliefs': 75, 'economic_and_political_context': 85}",80,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 65}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver19.pkl,100.0
100,100,100,100,100,100,100,100.0,100,100,80,90,85,75,85,80,90,70,90,83,,"{'time_period': 80, 'geographical_location': 60, 'cultural_context': 50, 'social_class': 70, 'ideology_and_beliefs': 60, 'economic_and_political_context': 70}",64,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 50, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 60}",60,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver2.pkl,
100,80,100,60,100,80,100,,100,86,90,80,75,70,85,80,90,70,85,80,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",80,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 65}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver20.pkl,80.0
100,80,100,80,100,60,100,,100,88,80,90,85,75,90,85,90,85,90,85,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 100, 'ideology_and_beliefs': 70, 'economic_and_political_context': 90}",82,"{'main_theme': 50, 'secondary_themes': 70, 'tertiary_themes': 60, 'resolution_main_them': 80, 'resolution_secondary_themes': 90, 'resolution_tertiary_themes': 70}",70,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver21.pkl,80.0
100,100,100,100,100,100,100,,100,96,100,100,90,80,100,90,100,100,100,95,,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 70, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",80,"{'main_theme': 30, 'secondary_themes': 40, 'tertiary_themes': 20, 'resolution_main_them': 50, 'resolution_secondary_themes': 60, 'resolution_tertiary_themes': 40}",40,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver22.pkl,80.0
100,100,100,100,100,100,100,100.0,100,100,90,85,80,95,90,85,95,90,85,88,,"{'time_period': 80, 'geographical_location': 60, 'cultural_context': 70, 'social_class': 75, 'ideology_and_beliefs': 65, 'economic_and_political_context': 85}",73,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 30, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 50}",55,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver23.pkl,
100,100,100,100,100,100,100,100.0,100,100,80,70,75,85,90,85,90,80,85,83,,"{'time_period': 100, 'geographical_location': 80, 'cultural_context': 90, 'social_class': 100, 'ideology_and_beliefs': 100, 'economic_and_political_context': 100}",94,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 70}",70,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver24.pkl,
100,100,100,100,100,100,100,,100,100,90,85,80,95,90,85,90,85,90,88,,"{'time_period': 80, 'geographical_location': 70, 'cultural_context': 60, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 70}",74,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 30, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 50}",55,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver25.pkl,100.0
100,50,100,50,75,100,100,,100,82,80,90,85,75,80,85,90,70,85,82,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 85}",80,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 65}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver26.pkl,75.0
100,100,100,100,100,100,100,100.0,100,100,70,80,75,85,90,85,85,80,90,83,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",80,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 30, 'resolution_main_them': 70, 'resolution_secondary_themes': 50, 'resolution_tertiary_themes': 60}",50,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver27.pkl,
100,100,100,100,100,100,100,100.0,100,100,90,85,80,75,85,90,85,80,90,85,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 85}",80,"{'main_theme': 50, 'secondary_themes': 60, 'tertiary_themes': 40, 'resolution_main_them': 70, 'resolution_secondary_themes': 65, 'resolution_tertiary_themes': 55}",57,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver28.pkl,
100,100,100,100,100,100,100,,100,100,85,90,80,85,85,90,85,75,80,83,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 60, 'ideology_and_beliefs': 70, 'economic_and_political_context': 80}",75,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 30, 'resolution_main_them': 50, 'resolution_secondary_themes': 70, 'resolution_tertiary_themes': 60}",50,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver29.pkl,100.0
100,100,100,100,100,100,100,,100,100,85,75,80,90,85,80,85,70,75,80,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 60, 'ideology_and_beliefs': 70, 'economic_and_political_context': 80}",75,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 50, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 60}",60,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver3.pkl,100.0
100,100,75,50,75,50,75,50.0,75,72,90,85,80,85,90,85,90,85,90,87,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 85}",80,"{'main_theme': 30, 'secondary_themes': 20, 'tertiary_themes': 10, 'resolution_main_them': 40, 'resolution_secondary_themes': 50, 'resolution_tertiary_themes': 30}",30,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver30.pkl,
100,80,90,70,60,90,80,,90,82,80,90,85,75,85,80,90,70,85,82,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 60, 'ideology_and_beliefs': 70, 'economic_and_political_context': 85}",75,"{'main_theme': 30, 'secondary_themes': 20, 'tertiary_themes': 15, 'resolution_main_them': 40, 'resolution_secondary_themes': 25, 'resolution_tertiary_themes': 20}",25,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver31.pkl,70.0
100,100,100,100,100,100,100,100.0,100,100,90,80,85,95,90,85,90,85,90,88,,"{'time_period': 100, 'geographical_location': 80, 'cultural_context': 100, 'social_class': 100, 'ideology_and_beliefs': 100, 'economic_and_political_context': 100}",96,"{'main_theme': 60, 'secondary_themes': 70, 'tertiary_themes': 50, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 65}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver32.pkl,
100,80,90,70,100,100,90,80.0,90,88,85,90,80,85,90,85,90,80,85,86,,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 70, 'social_class': 60, 'ideology_and_beliefs': 80, 'economic_and_political_context': 90}",78,"{'main_theme': 40, 'secondary_themes': 60, 'tertiary_themes': 50, 'resolution_main_them': 70, 'resolution_secondary_themes': 80, 'resolution_tertiary_themes': 75}",60,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver4.pkl,
100,80,90,60,70,90,80,70.0,90,80,90,80,85,95,90,90,95,85,90,89,0,"{'time_period': 80, 'geographical_location': 60, 'cultural_context': 70, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",76,"{'main_theme': 50, 'secondary_themes': 30, 'tertiary_themes': 20, 'resolution_main_them': 70, 'resolution_secondary_themes': 40, 'resolution_tertiary_themes': 60}",45,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver5.pkl,
100,100,100,100,100,100,100,100.0,100,100,80,90,85,75,70,85,90,80,85,82,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 75, 'ideology_and_beliefs': 85, 'economic_and_political_context': 90}",80,"{'main_theme': 40, 'secondary_themes': 30, 'tertiary_themes': 20, 'resolution_main_them': 60, 'resolution_secondary_themes': 50, 'resolution_tertiary_themes': 40}",40,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver6.pkl,
100,80,90,70,70,90,80,60.0,90,80,90,85,80,75,85,85,90,80,90,85,,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 85, 'social_class': 75, 'ideology_and_beliefs': 90, 'economic_and_political_context': 85}",85,"{'main_theme': 50, 'secondary_themes': 70, 'tertiary_themes': 60, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 70}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver7.pkl,
100,80,100,60,90,100,100,90.0,90,88,90,85,80,95,90,85,90,85,90,88,,"{'time_period': 90, 'geographical_location': 80, 'cultural_context': 85, 'social_class': 90, 'ideology_and_beliefs': 80, 'economic_and_political_context': 85}",85,"{'main_theme': 50, 'secondary_themes': 70, 'tertiary_themes': 60, 'resolution_main_them': 80, 'resolution_secondary_themes': 75, 'resolution_tertiary_themes': 70}",68,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver8.pkl,
100,50,75,50,50,75,75,50.0,75,66,80,90,85,95,90,85,95,80,90,88,,"{'time_period': 90, 'geographical_location': 70, 'cultural_context': 80, 'social_class': 85, 'ideology_and_beliefs': 75, 'economic_and_political_context': 90}",80,"{'main_theme': 60, 'secondary_themes': 40, 'tertiary_themes': 30, 'resolution_main_them': 70, 'resolution_secondary_themes': 50, 'resolution_tertiary_themes': 60}",50,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_office-space_1999_ver9.pkl,
